date,bull,crash,sideways
2015-03-02,1.3289307016613326e-139,3.3590251642878465e-07,0.9999996640981972
2015-03-03,0.00011232283140915809,0.3680187090329501,0.6318689681358364
2015-03-04,5.606518227499778e-05,0.767370434886988,0.23257349993106816
2015-03-05,1.0130120890039532e-05,0.8907054210840019,0.10928444879459275
2015-03-06,1.1977331799119595e-07,7.773921923900723e-09,0.9999998724524711
2015-03-09,0.0006657014546395221,0.8731575185765935,0.1261767799687145
2015-03-10,0.0004952969288248419,5.8134886368856e-07,0.9995041217217099
2015-03-11,0.1369816856438242,0.7213294821893627,0.14168883216731357
2015-03-12,0.16513305381762428,0.8325156292050887,0.002351316976383299
2015-03-13,0.13214047245689955,0.819475182312196,0.04838434523161739
2015-03-16,0.12690652882654138,0.8730501862592482,4.328491435915381e-05
2015-03-17,0.11235453496928038,0.8872178401727404,0.00042762485707055123
2015-03-18,0.10632838694824694,0.8936705011298861,1.1119214736571025e-06
2015-03-19,0.08865317279350245,0.9106105883209765,0.0007362388850514649
2015-03-20,0.04707384659367592,0.9529208222339703,5.331171778926588e-06
2015-03-23,0.01918942667083947,0.9804125476719666,0.00039802565674350256
2015-03-24,0.011569896222281752,0.9398566689928243,0.048573434785362905
2015-03-25,0.009960776555495132,0.0003139346158013396,0.9897252888291415
2015-03-26,0.03180224763485725,0.8817511831155341,0.08644656924979793
2015-03-27,0.03186358830663443,0.9619615372025537,0.006174874489964146
2015-03-30,0.026618072245451718,0.9724087242582383,0.0009732034964863531
2015-03-31,0.013684771540683847,0.6945832428521646,0.29173198560639085
2015-04-01,0.0007950390175549684,0.9723534442857531,0.026851516696435637
2015-04-02,1.9474721642552227e-05,0.9990685969495755,0.0009119283292860909
2015-04-06,6.948286788803973e-07,0.9993622302321917,0.0006370749387906145
2015-04-07,1.2955819239051192e-07,0.9926199209334008,0.007379949508145844
2015-04-08,6.883676382182981e-07,0.9986618948612166,0.00133741677200426
2015-04-09,5.749674462205054e-07,0.9154711532072672,0.08452827182443452
2015-04-10,6.257209997399128e-06,0.9963367322703762,0.0036570105196295725
2015-04-13,7.795718754072491e-07,0.9557684443197074,0.04423077610838267
2015-04-14,4.0106914798367336e-06,0.8180282279574047,0.18196776135034817
2015-04-15,2.1113195414233504e-05,0.5657915316056346,0.4341873551980723
2015-04-16,2.221783113231274e-05,0.8238143587154261,0.17616342345268532
2015-04-17,1.6397099069581692e-09,5.204265944612872e-13,0.9999999983592716
2015-04-20,9.456922769035943e-05,0.9727639931103116,0.027141437661786692
2015-04-21,1.3595101289480194e-06,0.9854844522890087,0.014514188201071988
2015-04-22,5.440427187983534e-07,0.99307770238456,0.00692175357255285
2015-04-23,1.6874161004103017e-07,0.9926482554284138,0.007351575830178522
2015-04-24,2.9368075563828237e-07,0.996163615543075,0.0038360907753310683
2015-04-27,1.7331810501727074e-07,0.9812679632517055,0.018731863430853774
2015-04-28,4.757800398092399e-07,0.9919725838652238,0.008026940354474751
2015-04-29,4.317861950436405e-07,0.9272016843571638,0.0727978838567801
2015-04-30,1.4740102446013796e-05,0.08639726948115334,0.9135879904171949
2015-05-01,0.0005130533999644091,0.9743535110896594,0.02513343551121259
2015-05-04,6.968534572373329e-06,0.9469297397316406,0.05306329173463959
2015-05-05,4.07502750041738e-06,0.002214964364039298,0.9977809606077318
2015-05-06,0.00014672707587363795,0.8468707542407472,0.15298251868332294
2015-05-07,1.1569461579600653e-05,0.9950518001907593,0.0049366303483380095
2015-05-08,1.610577846574484e-05,0.9975045349744476,0.0024793592477598218
2015-05-11,1.9426036400415e-06,0.9720207799402419,0.027977277456197984
2015-05-12,4.428871849029783e-06,0.9947086350963908,0.005286936032645677
2015-05-13,6.388925060581973e-07,0.9985088380978704,0.0014905230100668168
2015-05-14,4.932030234490358e-07,0.9997381375764225,0.00026136922105114815
2015-05-15,2.35458236184486e-08,0.9956997898215747,0.004300186632843152
2015-05-18,2.3448999492952647e-07,0.9987942501702496,0.0012055153390219447
2015-05-19,1.1873380131693329e-07,0.9811732233886146,0.01882665787672866
2015-05-20,7.518604963282429e-07,0.9946404636263918,0.005358784513845662
2015-05-21,1.8742259585835406e-07,0.9778386817754245,0.022161130802874296
2015-05-22,5.218800197154078e-07,0.1690480875677588,0.8309513905528051
2015-05-26,5.732950467596285e-05,0.004058498978559129,0.9958841715164226
2015-05-27,0.00016656271284599844,0.9560180539479304,0.04381538333909238
2015-05-28,2.7224023666695167e-06,0.9784233121245938,0.0215739654725267
2015-05-29,2.2346964257406554e-06,0.8876927460096756,0.11230501929403434
2015-06-01,4.6624839815689055e-06,0.981372121271174,0.018623216245178747
2015-06-02,5.317264512626185e-07,0.985135989589654,0.014863478683860606
2015-06-03,7.171911671950877e-07,0.9675896297329497,0.032409653076752434
2015-06-04,8.061543649028159e-06,0.4788523499751789,0.5211395884811365
2015-06-05,2.752289774775248e-05,0.9475859596589484,0.052386517443624735
2015-06-08,1.4389895971010672e-05,0.871042545676223,0.12894306442859024
2015-06-09,3.090644860226514e-05,0.9116579301021843,0.08831116344983633
2015-06-10,8.940510677942877e-05,0.9823724741294608,0.017538120764458518
2015-06-11,1.5644150910238861e-06,0.9938935130668617,0.006104922517600144
2015-06-12,1.2527249176693474e-06,0.9632190796400297,0.03677966763436113
2015-06-15,3.7610713842617512e-06,0.9832892013740077,0.01670703755373697
2015-06-16,1.4464482491476127e-06,0.9961663538235255,0.0038321997279677587
2015-06-17,2.65961412408181e-07,0.9945389024649761,0.005460831573463659
2015-06-18,1.2721754279101583e-06,0.9971165604621937,0.002882167363005026
2015-06-19,9.176345311795241e-07,0.9843381078747051,0.015660974490425916
2015-06-22,1.6843973455787005e-06,0.998398073354798,0.0016002422470544743
2015-06-23,1.1206271294653056e-07,0.9972233746231076,0.002776513313468546
2015-06-24,4.287103156143484e-07,0.9766645975932767,0.02333497369589498
2015-06-25,1.908009675552697e-06,0.9707357150117061,0.029262376978816517
2015-06-26,1.8266866296032197e-06,0.9325060406500466,0.06749213266352987
2015-06-29,6.49670087677043e-09,6.333053721469612e-19,0.9999999935025699
2015-06-30,0.042822493065316825,0.9292304008091465,0.027947106125559944
2015-07-01,0.016475040770371742,0.9826269008127982,0.0008980584163947339
2015-07-02,0.002058417078002524,0.9797359867036203,0.01820559621878403
2015-07-06,0.000393811497824905,0.9674689839481521,0.03213720455426385
2015-07-07,0.00022915519365843752,0.9981665431181738,0.0016043016890709893
2015-07-08,0.00025158044219170627,0.0013517036053152136,0.9983967159518693
2015-07-09,0.020851076386080813,0.9735780484969586,0.005570875117400666
2015-07-10,0.01958861457956696,0.9803836076094,2.777781145709205e-05
2015-07-13,0.015098771189873687,0.9848988084650571,2.4203453365269465e-06
2015-07-14,0.007387031285127869,0.9698547824952387,0.022758186219709344
2015-07-15,0.0031517573207741874,0.9967398922611657,0.00010835041893615387
2015-07-16,0.0011075900447142333,0.9988696581510786,2.2751804213622443e-05
2015-07-17,8.17773392200165e-05,0.9997510842895199,0.00016713837102660088
2015-07-20,1.7813884727363934e-06,0.9992078324451138,0.0007903861658515747
2015-07-21,4.194578711306193e-07,0.9666811854957268,0.03331839504696654
2015-07-22,4.6091008945747135e-07,0.021503202634592485,0.9784963364546896
2015-07-23,0.00014984281361221538,0.1865880455266806,0.8132621116594928
2015-07-24,0.000829237841197,0.10889672418376271,0.8902740379746049
2015-07-27,0.0036497757870006154,0.24491175398630735,0.751438470226403
2015-07-28,0.0084017183047778,0.8704161366489496,0.12118214504566611
2015-07-29,0.00023053048718343222,0.9964448629994185,0.0033246065128954097
2015-07-30,2.012773835801253e-06,0.9923181904438378,0.007679796783156418
2015-07-31,5.231025522212428e-07,0.9950680064183807,0.004931470478651013
2015-08-03,5.062935415008979e-07,0.9959967778320568,0.00400271587414357
2015-08-04,2.0097654510517675e-07,0.9890504832488631,0.010949315774897949
2015-08-05,7.585079826454645e-07,0.9922566848645883,0.007742556627732345
2015-08-06,2.7527804122442214e-06,0.8236948037688406,0.17630244345064527
2015-08-07,3.0227418074088648e-05,0.9020380019938651,0.09793177058882797
2015-08-10,7.854096340390447e-05,0.9925967162514628,0.007324742785315489
2015-08-11,8.502708360721607e-06,0.8876259146251027,0.11236558266692069
2015-08-12,8.055182446453985e-06,0.9777544016561681,0.022237543160633276
2015-08-13,1.0055689753401961e-06,0.9892948792540536,0.010704115176231242
2015-08-14,4.95452531679549e-07,0.9960596128296332,0.0039398917185342296
2015-08-17,2.786805681701563e-07,0.9957803685891117,0.004219352731199839
2015-08-18,3.936503699152616e-07,0.9861310108381246,0.013868595512367007
2015-08-19,7.437193755599408e-06,0.6235374794996269,0.37645508330665606
2015-08-20,0.00022255729895527483,1.7669965051488773e-11,0.9997774426832743
2015-08-21,0.09410932570848894,2.4298228687096537e-33,0.9058906742914257
2015-08-24,0.9999999977117113,9.015548292972196e-58,2.2883964446515736e-09
2015-08-25,1.0,1.022359625545192e-56,7.092170379206484e-25
2015-08-26,1.0,1.1644768458919637e-67,8.227111348483367e-62
2015-08-27,1.0,9.261541526120418e-53,1.844519177234598e-46
2015-08-28,1.0,4.330984786684227e-46,3.4192784431362165e-33
2015-08-31,1.0,2.3443476931942785e-49,3.335068723221717e-37
2015-09-01,1.0,2.2280119294058722e-63,1.0614204782004632e-34
2015-09-02,1.0,2.20644204799958e-52,4.2419224325508817e-50
2015-09-03,1.0,4.49850500033682e-53,2.3570528044064906e-39
2015-09-04,1.0,3.0386874700958354e-55,1.7127247912527252e-28
2015-09-08,1.0,2.3390906184302786e-45,1.3927804185027207e-39
2015-09-09,1.0,2.9597479694226843e-38,1.1418638737030417e-25
2015-09-10,1.0,1.4403240898355793e-25,4.035825113536157e-20
2015-09-11,1.0,7.912255820795188e-22,1.6005445641767783e-16
2015-09-14,1.0,1.7560812803556865e-24,5.648539532115697e-16
2015-09-15,1.0,2.4490683788987e-18,1.7329480200571063e-19
2015-09-16,0.999999999994543,3.581926690270694e-12,1.2228381414908036e-12
2015-09-17,0.999999994681275,3.937478719844223e-09,1.3809359940391218e-09
2015-09-18,0.9999998281673618,1.2265501465739296e-11,1.7182121790436292e-07
2015-09-21,0.9999657041831954,3.428733172300463e-05,8.484938682140423e-09
2015-09-22,0.9995586532502588,4.150300810897056e-06,0.0004371964482382488
2015-09-23,0.9993649464491585,0.0005246125194331036,0.00011044103208851126
2015-09-24,0.9912272999050651,0.00800254159897554,0.0007701584953158574
